fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.10,train_pool,46-47,13,0.03194103194103194,17,0.03339882121807466,0.0014577892770427162
0,0.10,train_pool,48-49,11,0.02702702702702703,14,0.0275049115913556,0.0004778845643285713
0,0.10,train_pool,50,8,0.019656019656019656,10,0.019646365422396856,9.65423362279949e-06
0,0.10,train_pool,51-55,27,0.06633906633906633,33,0.06483300589390963,0.0015060604451567067
0,0.10,train_pool,56-60,23,0.056511056511056514,28,0.0550098231827112,0.0015012333283453139
0,0.10,train_pool,61-65,2,0.004914004914004914,2,0.003929273084479371,0.0009847318295255428
0,0.10,train_pool,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.10,train_fraction,10-11,1,0.024390243902439025,21,0.0412573673870334,0.016867123484594376
0,0.10,train_fraction,12-13,3,0.07317073170731707,37,0.07269155206286837,0.000479179644448699
0,0.10,train_fraction,14-15,4,0.0975609756097561,57,0.11198428290766209,0.014423307297905988
0,0.10,train_fraction,16-17,3,0.07317073170731707,37,0.07269155206286837,0.000479179644448699
0,0.10,train_fraction,18-19,2,0.04878048780487805,20,0.03929273084479371,0.009487756960084338
0,0.10,train_fraction,20-21,2,0.04878048780487805,24,0.047151277013752456,0.0016292107911255946
0,0.10,train_fraction,22-23,2,0.04878048780487805,22,0.043222003929273084,0.0055584838756049665
0,0.10,train_fraction,24-25,1,0.024390243902439025,15,0.029469548133595286,0.0050793042311562606
0,0.10,train_fraction,26-27,1,0.024390243902439025,17,0.03339882121807466,0.009008577315635632
0,0.10,train_fraction,28-29,2,0.04878048780487805,21,0.0412573673870334,0.007523120417844649
0,0.10,train_fraction,30-31,1,0.024390243902439025,11,0.021611001964636542,0.0027792419378024832
0,0.10,train_fraction,32-33,1,0.024390243902439025,18,0.03536345776031434,0.010973213857875315
0,0.10,train_fraction,34-35,2,0.04878048780487805,22,0.043222003929273084,0.0055584838756049665
0,0.10,train_fraction,36-37,2,0.04878048780487805,20,0.03929273084479371,0.009487756960084338
